x, y
0.44692737430167595, 0
1.3966480446927374, 0
2.318435754189944, 0
2.4581005586592175, 0.07352941176470668
2.513966480446927, 0.36764705882353127
2.541899441340782, 0.6617647058823538
2.5698324022346366, 1.029411764705881
2.5977653631284916, 1.6176470588235279
2.653631284916201, 2.7205882352941173
2.7374301675977653, 2.9411764705882355
2.8491620111731844, 2.279411764705882
2.960893854748603, 1.50735294117647
3.072625698324022, 1.0661764705882342
3.2402234636871508, 0.808823529411765
3.407821229050279, 0.808823529411765
3.631284916201117, 0.8823529411764696
3.88268156424581, 1.029411764705881
4.134078212290502, 1.1029411764705896
4.35754189944134, 1.1764705882352922
4.553072625698324, 1.1764705882352922
4.776536312849162, 1.1029411764705896
5.027932960893854, 0.9926470588235276
5.307262569832402, 0.9191176470588229
5.53072625698324, 0.9191176470588229
5.782122905027933, 0.9191176470588229
6.145251396648044, 0.9926470588235276
6.4525139664804465, 1.0661764705882342
6.759776536312849, 1.0661764705882342
7.12290502793296, 1.0661764705882342
7.346368715083798, 1.029411764705881
7.653631284916201, 0.9926470588235276
7.877094972067039, 0.9926470588235276
8.240223463687151, 0.9926470588235276
8.575418994413408, 1.029411764705881
9.050279329608937, 1.029411764705881
9.35754189944134, 1.029411764705881
10, 1.029411764705881